Date,Open,High,Low,Close,Volume,Market Cap
2019-11-27,7220.88,7619.69,6974.17,7531.66,23991412764.0,136102712894.0
2019-11-26,7145.16,7320.23,7098.57,7218.37,21129505542.0,130429018720.0
2019-11-25,7039.98,7319.86,6617.17,7146.13,42685231262.0,129112952930.0
2019-11-24,7398.63,7408.58,7029.29,7047.92,30433517289.0,127327398565.0
2019-11-23,7296.16,7442.26,7151.42,7397.8,21008924418.0,133636205957.0
2019-11-22,7643.57,7697.38,6936.71,7296.58,34242315785.0,131791783672.0
2019-11-21,8023.64,8110.1,7597.38,7642.75,22514243371.0,138031885379.0
2019-11-20,8203.61,8237.24,8010.51,8027.27,20764300437.0,144962727398.0
2019-11-19,8305.13,8408.52,8099.96,8206.15,21083613816.0,148178376843.0
2019-11-18,8573.98,8653.28,8273.57,8309.29,21579470673.0,150025712267.0
2019-11-17,8549.47,8727.79,8500.97,8577.98,18668638897.0,154861842425.0
2019-11-16,8491.17,8592.0,8473.97,8550.76,16495389808.0,154354054194.0
2019-11-15,8705.71,8730.87,8484.84,8491.99,21796856471.0,153277483626.0
2019-11-14,8811.94,8826.94,8692.55,8708.1,19084739975.0,157160974644.0
